date,price_usd,volume_usd,market_cap_usd
2026-05-13,0.0382842,25609662.278459683,1050423840.9939854
2026-05-14,0.03719074,22708784.910113126,1018417447.3445868
2026-05-15,0.03683449,19114955.530892182,1010509151.4390035
2026-05-16,0.03491419,16957869.299418584,957235486.9902468
2026-05-17,0.03420455,13801868.281959536,938039951.2147565
2026-05-18,0.03369658,13738298.439220872,923985350.4723386
2026-05-19,0.03434222,13111688.95934862,941334705.7447531
2026-05-20,0.03404647,10672428.490023792,933430111.8884913
2026-05-21,0.03445666,10912078.563902425,944777356.3592596
2026-05-22,0.03491765,12565871.397171415,959190341.8142583
2026-05-23,0.03374117,12118852.410628928,924955911.1155859
2026-05-24,0.03389299,14275138.53700376,929069147.2166623
2026-05-25,0.0333986,11407231.095580636,917504649.9526427
2026-05-26,0.03342684,12975485.81008298,916749200.3420429
2026-05-27,0.03276539,12703363.292766469,896989312.4539547
2026-05-28,0.03092731,11244082.567151373,847834373.242054
2026-05-29,0.03102856,9485360.752678884,849989108.0089474
2026-05-30,0.03048346,10094631.204830142,835646273.3879137
2026-05-31,0.03040006,8071374.384153478,834288226.6777713
2026-06-01,0.03018365,7046075.200588874,827091306.3698857
2026-06-02,0.02957277,10266441.353455435,810363550.5353668
2026-06-03,0.02990474,12044939.467072768,819975676.5985564
2026-06-04,0.03004302,20789591.46567104,823958942.8392389
2026-06-05,0.02937775,16105506.712725038,806177812.9016963
2026-06-06,0.03035258,22394181.292341486,832166321.6809925
2026-06-07,0.0303153,9328036.66607193,831044010.7318128
2026-06-08,0.03190491,11382485.38775093,874725916.0852157
2026-06-09,0.0321943,18759385.53117305,888566771.5795512
2026-06-10,0.03070078,15471870.048267525,843386489.848684
2026-06-11,0.03126337,13501803.500237688,859823202.1367565
2026-06-12,0.03084081,10433872.343850568,848116066.7685004
2026-06-13,0.03095349,9754227.157744082,851043500.3984907
2026-06-14,0.03168354,8234122.773823054,869712447.345107
2026-06-15,0.03255853,12731605.820080267,894964732.563436
2026-06-16,0.0338332,14819528.292951496,929873672.1482766
2026-06-17,0.03243494,12275742.471161572,891721500.7932622
2026-06-18,0.03105425,15204367.445202392,853823649.2801447
2026-06-19,0.03009493,11522858.7518137,827328781.884688
2026-06-20,0.03005992,9510060.441363221,826440652.8817337
2026-06-21,0.02965398,7591955.486086954,814999571.4782159
2026-06-22,0.02964608,9140906.130988069,814823610.5138975
2026-06-23,0.02920548,10511600.94646453,803475339.9933494
2026-06-24,0.0285961,19170260.58116421,786216148.0682244
2026-06-25,0.028153,14770398.19576878,773688929.1864548
2026-06-26,0.02738789,14577143.830753064,753200023.3284564
2026-06-27,0.02783007,6599787.265883372,765058163.2948877
2026-06-28,0.02773419,9768671.744318696,763028848.2468373
2026-06-29,0.0281953,10749076.268922074,775307887.1358664
2026-06-30,0.03104857,17986747.695343092,853683789.5992244
2026-07-01,0.03052129,26503860.317922015,839108746.1740909
2026-07-02,0.03079877,14407293.26013048,846777410.364719
2026-07-03,0.03093069,11627296.64359066,850538978.1458853
2026-07-04,0.0315879,7160796.372168171,869377398.7533823
