date,price_usd,volume_usd,market_cap_usd
2026-05-17,56.28,198465022.9830134,4343328523.576456
2026-05-28,50.39,289035323.0128896,3893080311.690159
2026-05-29,51.75,244610518.5390835,3986537766.875148
2026-06-01,51.22,258999566.7035637,3955558395.3189726
2026-06-04,46.67,419860811.6935262,3605039478.3848395
2026-06-06,41.82,553869576.4925232,3225745643.3446193
2026-06-09,42.9,306444769.6868394,3317143689.798829
2026-06-13,43.16,225819009.65743884,3334467643.409943
2026-06-28,42.21,225098856.644968,3263492688.4391146
2026-07-07,44.07,236882885.53484905,3410306128.5549726
2026-07-08,43.64,244779237.61419678,3375765040.2493706
2026-08-07,45.41,161843519.29947412,3517708668.561147
2026-08-18,44.19,148038734.59321293,3424970370.8127246
2026-08-20,46.9,254235708.18101433,3634980818.2346845
2026-08-27,49.85,310266854.7711108,3865298979.096128
2026-08-28,48.94,254965307.3516834,3795031786.1908526
2026-09-01,48.84,204751345.79638094,3788232165.9237747
