date,price_usd,volume_usd,market_cap_usd
2026-05-09,410.96,142004615.9503089,7565252319.175562
2026-05-10,403.93,122685689.45351909,7451670628.402314
2026-05-11,407.99,101582742.29317361,7526543113.54581
2026-05-12,417.22,174410282.34443548,7689027975.981904
2026-05-13,414.09,140618647.4227919,7638524059.626855
2026-05-14,399.37,140054013.6840468,7369674003.839059
2026-05-15,392.29,146872697.28366172,7244573917.971652
2026-05-16,378.09,133170051.27280661,6974401638.914218
2026-05-17,387.82,90833657.36360827,7156383758.878756
2026-05-18,385.61,91141745.79960881,7117114240.447837
2026-05-19,389.79,110183393.21071528,7190048417.448785
2026-05-20,393.85,114823847.96416564,7266300731.312772
2026-05-21,399.97,159744005.29126707,7373995774.1258955
2026-05-22,385.18,149531108.34690747,7105829234.8246355
2026-05-23,378.31,129902612.3398015,6973339672.966503
2026-05-24,385.47,97555500.66643059,7110503631.477631
2026-05-25,391.46,111574555.67258559,7198664653.335212
2026-05-26,380.82,143210446.7388919,7025538581.226197
2026-05-27,384.63,138256053.70475477,7099167224.523845
2026-05-28,380.72,167473993.03484222,7144058244.080815
2026-05-29,359.74,152895435.46517238,6738872055.286601
2026-05-30,409.51,229756993.59748706,7683884187.742628
2026-05-31,370.53,178312737.48250875,6950655315.807614
2026-06-01,360.79,100854145.50823516,6765122731.1475
2026-06-02,349.42,202486368.07144114,6521104834.243482
2026-06-03,336.18,184054981.7164501,6311636269.286871
2026-06-04,361.5,171686663.95193893,6765172045.732454
2026-06-05,321.7,175970188.4129225,6055215158.595221
2026-06-06,309.72,190572615.89101174,5810567355.526607
2026-06-07,297.69,100680452.53579025,5574174178.083376
2026-06-08,303.9,98881144.02026103,5694514314.200273
2026-06-09,324.98,118771762.0452801,6115219604.373802
2026-06-10,308.36,111994743.1518403,5775137941.253735
2026-06-11,341.45,136871182.91244173,6405318219.975848
2026-06-12,388.97,275211707.80781645,7285514780.377464
2026-06-13,342.85,221028471.11559466,6433961312.805285
2026-06-14,340.44,96077238.2058557,6387025748.44773
2026-06-15,333.78,108300437.23953198,6262112800.014107
2026-06-16,346.14,195016163.206723,6501949850.811217
2026-06-17,349.9,130990505.48435646,6574079755.853593
2026-06-18,328.26,144336387.35278502,6164418070.413534
2026-06-19,329.11,144654668.7910735,6161971896.821003
2026-06-20,306.91,133188854.11851856,5766185872.799126
2026-06-21,320.93,101745246.79095183,6021816845.680631
2026-06-22,321.59,90840946.31186697,6044094023.960664
2026-06-23,320.85,148528228.14102712,6015407226.103096
2026-06-24,324.55,156862424.63674763,6095361305.634168
2026-06-25,315.29,126864292.6648879,5917977243.746182
2026-06-26,314.69,139990957.81132805,5906787366.867098
2026-06-27,317.55,118032508.58642872,5960434207.456486
2026-06-28,315.93,76654396.46776447,5931204482.143687
2026-06-29,310.71,103943939.62088108,5832440652.891679
2026-06-30,311.38,138075700.77514383,5844961859.1607275
2026-07-01,310.4,123371643.80276924,5826729858.394347
2026-07-02,307.35,121406859.65185283,5769798383.626168
2026-07-03,317.08,96744780.4674266,5952700200.315601
2026-07-04,325.6,101196001.46877366,6113010473.288607
2026-07-05,332.19,111927437.42048171,6236465191.805733
2026-07-06,319.35,109033858.57282743,5995891308.374213
