date,new_price_usd,used_price_usd,used_source
2026-07-10,200.00,,
2026-07-11,200.00,,
2026-07-12,200.00,,
2026-07-13,200.00,,
2026-07-14,200.00,,
2026-07-15,200.00,,
2026-07-16,200.00,,
2026-07-17,200.00,,
2026-07-18,200.00,,
2026-07-19,200.00,,
2026-07-20,200.00,,
2026-07-21,200.00,,
2026-07-22,200.00,,
2026-07-23,200.00,,
2026-07-24,200.00,,
2026-07-25,200.00,,
2026-07-26,200.00,,
2026-07-27,200.00,,
2026-07-28,200.00,,
2026-07-29,200.00,,
2026-07-30,200.00,,
2026-07-31,200.00,,
2026-08-01,200.00,,
2026-08-02,200.00,,
2026-08-03,200.00,,
2026-08-04,200.00,,
2026-08-05,200.00,,
2026-08-06,200.00,,
2026-08-07,200.00,,
2026-08-08,200.00,,
2026-08-09,200.00,,
2026-08-10,200.00,,
2026-08-11,200.00,,
