date,new_price_usd,used_price_usd,used_source
2026-05-09,200.00,,
2026-05-10,200.00,,
2026-05-11,200.00,,
2026-05-12,200.00,,
2026-05-13,200.00,,
2026-05-14,200.00,,
2026-05-15,200.00,,
2026-05-16,200.00,,
2026-05-17,200.00,,
2026-05-18,200.00,,
2026-05-19,200.00,,
2026-05-20,200.00,,
2026-05-21,200.00,,
2026-05-22,200.00,,
2026-05-23,200.00,,
2026-05-24,200.00,,
2026-05-25,200.00,,
2026-05-26,200.00,,
2026-05-27,200.00,,
2026-05-28,200.00,,
2026-05-29,200.00,,
2026-05-30,200.00,,
2026-05-31,200.00,,
2026-06-01,200.00,,
2026-06-02,200.00,,
2026-06-03,200.00,,
2026-06-04,200.00,,
2026-06-05,200.00,,
2026-06-06,200.00,,
2026-06-07,200.00,,
