date,new_price_usd,used_price_usd,used_source
2026-05-09,220.00,,
2026-05-10,220.00,,
2026-05-11,220.00,,
2026-05-12,220.00,,
2026-05-13,220.00,,
2026-05-14,220.00,,
2026-05-15,220.00,,
2026-05-16,220.00,,
2026-05-17,220.00,,
2026-05-18,220.00,,
2026-05-19,220.00,,
2026-05-20,220.00,,
2026-05-21,220.00,,
2026-05-22,220.00,,
2026-05-23,220.00,,
2026-05-24,220.00,,
2026-05-25,220.00,,
2026-05-26,220.00,,
2026-05-27,220.00,,
2026-05-28,220.00,,
2026-05-29,220.00,,
2026-05-30,220.00,,
2026-05-31,220.00,,
2026-06-01,220.00,,
2026-06-02,220.00,,
2026-06-03,220.00,,
2026-06-04,220.00,,
2026-06-05,220.00,,
2026-06-06,220.00,,
2026-06-07,220.00,,
2026-06-08,220.00,,
2026-06-09,220.00,,
2026-06-10,220.00,,
2026-06-11,220.00,,
2026-06-12,220.00,,
2026-06-13,220.00,,
2026-06-14,220.00,,
2026-06-15,220.00,,
2026-06-16,220.00,,
2026-06-17,220.00,,
2026-06-18,220.00,,
2026-06-19,220.00,,
2026-06-20,220.00,,
2026-06-21,220.00,,
2026-06-22,220.00,,
2026-06-23,220.00,,
2026-06-24,220.00,,
2026-06-25,220.00,,
2026-06-26,220.00,,
2026-06-27,220.00,,
2026-06-28,220.00,,
2026-06-29,220.00,,
2026-06-30,220.00,,
2026-07-01,220.00,,
2026-07-02,220.00,,
2026-07-03,220.00,,
2026-07-04,220.00,,
2026-07-05,220.00,,
2026-07-06,220.00,,
2026-07-07,220.00,,
2026-07-08,220.00,,
2026-07-09,220.00,,
2026-07-10,220.00,,
2026-07-11,220.00,,
2026-07-12,220.00,,
