date,new_price_usd,used_price_usd,used_source
2026-05-09,210.00,,
2026-05-10,210.00,,
2026-05-11,210.00,,
2026-05-12,210.00,,
2026-05-13,210.00,,
2026-05-14,210.00,,
2026-05-15,210.00,,
2026-05-16,210.00,,
2026-05-17,210.00,,
2026-05-18,210.00,,
2026-05-19,210.00,,
2026-05-20,210.00,,
2026-05-21,210.00,,
2026-05-22,210.00,,
2026-05-23,210.00,,
2026-05-24,210.00,,
2026-05-25,210.00,,
2026-05-26,210.00,,
2026-05-27,210.00,,
2026-05-28,210.00,,
2026-05-29,210.00,,
2026-05-30,210.00,,
2026-05-31,210.00,,
2026-06-01,210.00,,
2026-06-02,210.00,,
2026-06-03,210.00,,
2026-06-04,210.00,,
2026-06-05,210.00,,
