date,new_price_usd,used_price_usd,used_source
2026-05-09,6150.00,,
2026-05-10,6150.00,,
2026-05-11,6150.00,,
2026-05-12,6150.00,,
2026-05-13,6150.00,,
2026-05-14,6150.00,,
2026-05-15,6150.00,,
2026-05-16,6150.00,,
2026-05-17,6150.00,,
2026-05-18,6150.00,,
2026-05-19,6150.00,,
2026-05-20,6150.00,,
2026-05-21,6150.00,,
2026-05-22,6150.00,,
2026-05-23,6150.00,,
2026-05-24,6150.00,,
2026-05-25,6150.00,,
2026-05-26,6150.00,,
2026-05-27,6150.00,,
2026-05-28,6150.00,,
2026-05-29,6150.00,,
2026-05-30,6150.00,,
2026-05-31,6150.00,,
