date,new_price_usd,used_price_usd,used_source
2026-05-09,4899.00,,
2026-05-10,4899.00,,
2026-05-11,4899.00,,
2026-05-12,4899.00,,
2026-05-13,4899.00,,
2026-05-14,4899.00,,
2026-05-15,4899.00,,
2026-05-16,4899.00,,
2026-05-17,4899.00,,
2026-05-18,4899.00,,
2026-05-19,4899.00,,
2026-05-20,4899.00,,
2026-05-21,4899.00,,
2026-05-22,4899.00,,
2026-05-23,4899.00,,
2026-05-24,4899.00,,
2026-05-25,4899.00,,
2026-05-26,4899.00,,
2026-05-27,4899.00,,
2026-05-28,4899.00,,
2026-05-29,4899.00,,
2026-05-30,4899.00,,
2026-05-31,4899.00,,
2026-06-01,4899.00,,
