date,new_price_usd,used_price_usd,used_source
2026-06-05,8649.00,,
2026-06-06,8649.00,,
2026-06-07,8649.00,,
2026-06-08,8649.00,,
2026-06-09,8649.00,,
2026-06-10,8649.00,,
2026-06-11,8649.00,,
2026-06-12,8649.00,,
2026-06-13,8649.00,,
2026-06-14,8649.00,,
2026-06-15,8649.00,,
2026-06-16,8649.00,,
2026-06-17,8649.00,,
2026-06-18,8649.00,,
2026-06-19,8649.00,,
2026-06-20,8649.00,,
2026-06-21,8649.00,,
2026-06-22,8649.00,,
2026-06-23,8649.00,,
2026-06-24,8649.00,,
2026-06-25,8649.00,,
2026-06-26,8649.00,,
2026-06-27,8649.00,,
2026-06-28,8649.00,,
2026-06-29,8649.00,,
2026-06-30,8649.00,,
2026-07-01,8649.00,,
2026-07-02,8649.00,,
2026-07-03,8649.00,,
2026-07-04,8649.00,,
2026-07-05,8649.00,,
2026-07-06,8649.00,,
2026-07-07,8649.00,,
