date,new_price_usd,used_price_usd,used_source
2026-06-05,19800.00,,
2026-06-06,19800.00,,
2026-06-07,19800.00,,
2026-06-08,19800.00,,
2026-06-09,19800.00,,
2026-06-10,19800.00,,
2026-06-11,19800.00,,
2026-06-12,19800.00,,
2026-06-13,19800.00,,
2026-06-14,19800.00,,
2026-06-15,19800.00,,
2026-06-16,19800.00,,
2026-06-17,19800.00,,
2026-06-18,19800.00,,
2026-06-19,19800.00,,
2026-06-20,19800.00,,
2026-06-21,19800.00,,
2026-06-22,19800.00,,
2026-06-23,19800.00,,
2026-06-24,19800.00,,
2026-06-25,19800.00,,
2026-06-26,19800.00,,
