date,new_price_usd,used_price_usd,used_source
2026-05-09,10599.00,,
2026-05-10,10599.00,,
2026-05-11,10599.00,,
2026-05-12,10599.00,,
2026-05-13,10599.00,,
2026-05-14,10599.00,,
2026-05-15,10599.00,,
2026-05-16,10599.00,,
2026-05-17,10599.00,,
2026-05-18,10599.00,,
2026-05-19,10599.00,,
2026-05-20,10599.00,,
2026-05-21,10599.00,,
2026-05-22,10599.00,,
2026-05-23,10599.00,,
2026-05-24,10599.00,,
2026-05-25,10599.00,,
2026-05-26,10599.00,,
2026-05-27,10599.00,,
2026-05-28,10599.00,,
2026-05-29,10599.00,,
2026-05-30,10599.00,,
2026-05-31,10599.00,,
2026-06-01,10599.00,,
2026-06-02,10599.00,,
