date,new_price_usd,used_price_usd,used_source
2026-05-09,1100.00,,
2026-05-10,1100.00,,
2026-05-11,1100.00,,
2026-05-12,1100.00,,
2026-05-13,1100.00,,
2026-05-14,1100.00,,
2026-05-15,1100.00,,
2026-05-16,1100.00,,
2026-05-17,1100.00,,
2026-05-18,1100.00,,
2026-05-19,1100.00,,
2026-05-20,1100.00,,
2026-05-21,1100.00,,
2026-05-22,1100.00,,
2026-05-23,1100.00,,
2026-05-24,1100.00,,
2026-05-25,1100.00,,
2026-05-26,1100.00,,
2026-05-27,1100.00,,
2026-05-28,1100.00,,
2026-05-29,1100.00,,
2026-05-30,1100.00,,
2026-05-31,1100.00,,
2026-06-01,1100.00,,
2026-06-02,1100.00,,
2026-06-03,1100.00,,
2026-06-04,1100.00,,
2026-06-05,1100.00,,
2026-06-06,1100.00,,
2026-06-07,1100.00,,
2026-06-08,1100.00,,
2026-06-09,1100.00,,
2026-06-10,1100.00,,
2026-06-11,1100.00,,
2026-06-12,1100.00,,
2026-06-13,1100.00,,
2026-06-14,1100.00,,
2026-06-15,1100.00,,
2026-06-16,1100.00,,
2026-06-17,1100.00,,
2026-06-18,1100.00,,
2026-06-19,1100.00,,
2026-06-20,1100.00,,
2026-06-21,1100.00,,
2026-06-22,1100.00,,
2026-06-23,1100.00,,
2026-06-24,1100.00,,
2026-06-25,1100.00,,
2026-06-26,1100.00,,
