date,new_price_usd,used_price_usd,used_source
2026-05-09,1450.00,,
2026-05-10,1450.00,,
2026-05-11,1450.00,,
2026-05-12,1450.00,,
2026-05-13,1450.00,,
2026-05-14,1450.00,,
2026-05-15,1450.00,,
2026-05-16,1450.00,,
2026-05-17,1450.00,,
2026-05-18,1450.00,,
2026-05-19,1450.00,,
2026-05-20,1450.00,,
2026-05-21,1450.00,,
2026-05-22,1450.00,,
2026-05-23,1450.00,,
2026-05-24,1450.00,,
2026-05-25,1450.00,,
2026-05-26,1450.00,,
2026-05-27,1450.00,,
2026-05-28,1450.00,,
2026-05-29,1450.00,,
2026-05-30,1450.00,,
