date,new_price_usd,used_price_usd,used_source
2026-05-09,9500.00,,
2026-05-10,9500.00,,
2026-05-11,9500.00,,
2026-05-12,9500.00,,
2026-05-13,9500.00,,
2026-05-14,9500.00,,
2026-05-15,9500.00,,
2026-05-16,9500.00,,
2026-05-17,9500.00,,
2026-05-18,9500.00,,
2026-05-19,9500.00,,
2026-05-20,9500.00,,
2026-05-21,9500.00,,
2026-05-22,9500.00,,
2026-05-23,9500.00,,
2026-05-24,9500.00,,
2026-05-25,9500.00,,
2026-05-26,9500.00,,
2026-05-27,9500.00,,
2026-05-28,9500.00,,
2026-05-29,9500.00,,
2026-05-30,9500.00,,
2026-05-31,9500.00,,
2026-06-01,9500.00,,
2026-06-02,9500.00,,
2026-06-03,9500.00,,
2026-06-04,9500.00,,
2026-06-05,9500.00,,
2026-06-06,9500.00,,
2026-06-07,9500.00,,
2026-06-08,9500.00,,
2026-06-09,9500.00,,
2026-06-10,9500.00,,
2026-06-11,9500.00,,
2026-06-12,9500.00,,
2026-06-13,9500.00,,
2026-06-14,9500.00,,
2026-06-15,9500.00,,
2026-06-16,9500.00,,
2026-06-17,9500.00,,
2026-06-18,9500.00,,
2026-06-19,9500.00,,
2026-06-20,9500.00,,
2026-06-21,9500.00,,
2026-06-22,9500.00,,
2026-06-23,9500.00,,
2026-06-24,9500.00,,
2026-06-25,9500.00,,
2026-06-26,9500.00,,
2026-06-27,9500.00,,
2026-06-28,9500.00,,
