date,new_price_usd,used_price_usd,used_source
2026-05-09,8600.00,,
2026-05-10,8600.00,,
2026-05-11,8600.00,,
2026-05-12,8600.00,,
2026-05-13,8600.00,,
2026-05-14,8600.00,,
2026-05-15,8600.00,,
2026-05-16,8600.00,,
2026-05-17,8600.00,,
2026-05-18,8600.00,,
2026-05-19,8600.00,,
2026-05-20,8600.00,,
2026-05-21,8600.00,,
2026-05-22,8600.00,,
2026-05-23,8600.00,,
2026-05-24,8600.00,,
2026-05-25,8600.00,,
2026-05-26,8600.00,,
2026-05-27,8600.00,,
2026-05-28,8600.00,,
2026-05-29,8600.00,,
2026-05-30,8600.00,,
2026-05-31,8600.00,,
2026-06-01,8600.00,,
2026-06-02,8600.00,,
2026-06-03,8600.00,,
2026-06-04,8600.00,,
2026-06-05,8600.00,,
2026-06-06,8600.00,,
2026-06-07,8600.00,,
2026-06-08,8600.00,,
2026-06-09,8600.00,,
2026-06-10,8600.00,,
2026-06-11,8600.00,,
2026-06-12,8600.00,,
2026-06-13,8600.00,,
2026-06-14,8600.00,,
2026-06-15,8600.00,,
2026-06-16,8600.00,,
