date,new_price_usd,used_price_usd,used_source
2026-05-09,2000.00,,
2026-05-10,2000.00,,
2026-05-11,2000.00,,
2026-05-12,2000.00,,
2026-05-13,2000.00,,
2026-05-14,2000.00,,
2026-05-15,2000.00,,
2026-05-16,2000.00,,
2026-05-17,2000.00,,
2026-05-18,2000.00,,
2026-05-19,2000.00,,
2026-05-20,2000.00,,
2026-05-21,2000.00,,
2026-05-22,2000.00,,
2026-05-23,2000.00,,
2026-05-24,2000.00,,
2026-05-25,2000.00,,
2026-05-26,2000.00,,
2026-05-27,2000.00,,
2026-05-28,2000.00,,
2026-05-29,2000.00,,
2026-05-30,2000.00,,
2026-05-31,2000.00,,
2026-06-01,2000.00,,
2026-06-02,2000.00,,
2026-06-03,2000.00,,
2026-06-04,2000.00,,
2026-06-05,2000.00,,
2026-06-06,2000.00,,
2026-06-07,2000.00,,
2026-06-08,2000.00,,
2026-06-09,2000.00,,
2026-06-10,2000.00,,
2026-06-11,2000.00,,
2026-06-12,2000.00,,
2026-06-13,2000.00,,
2026-06-14,2000.00,,
2026-06-15,2000.00,,
2026-06-16,2000.00,,
2026-06-17,2000.00,,
2026-06-18,2000.00,,
2026-06-19,2000.00,,
2026-06-20,2000.00,,
