date,new_price_usd,used_price_usd,used_source
2026-05-09,420.00,,
2026-05-10,420.00,,
2026-05-11,420.00,,
2026-05-12,420.00,,
2026-05-13,420.00,,
2026-05-14,420.00,,
2026-05-15,420.00,,
2026-05-16,420.00,,
2026-05-17,420.00,,
2026-05-18,420.00,,
2026-05-19,420.00,,
2026-05-20,420.00,,
2026-05-21,420.00,,
2026-05-22,420.00,,
2026-05-23,420.00,,
2026-05-24,420.00,,
2026-05-25,420.00,,
2026-05-26,420.00,,
2026-05-27,420.00,,
2026-05-28,420.00,,
2026-05-29,420.00,,
2026-05-30,420.00,,
2026-05-31,420.00,,
2026-06-01,420.00,,
2026-06-02,420.00,,
2026-06-03,420.00,,
2026-06-04,420.00,,
2026-06-05,420.00,,
2026-06-06,420.00,,
2026-06-07,420.00,,
2026-06-08,420.00,,
2026-06-09,420.00,,
2026-06-10,420.00,,
2026-06-11,420.00,,
2026-06-12,420.00,,
2026-06-13,420.00,,
2026-06-14,420.00,,
2026-06-15,420.00,,
2026-06-16,420.00,,
2026-06-17,420.00,,
2026-06-18,420.00,,
2026-06-19,420.00,,
2026-06-20,420.00,,
2026-06-21,420.00,,
2026-06-22,420.00,,
2026-06-23,420.00,,
2026-06-24,420.00,,
2026-06-25,420.00,,
2026-06-26,420.00,,
