date,new_price_usd,used_price_usd,used_source
2026-05-09,1070.00,,
2026-05-10,1070.00,,
2026-05-11,1070.00,,
2026-05-12,1070.00,,
2026-05-13,1070.00,,
2026-05-14,1070.00,,
2026-05-15,1070.00,,
2026-05-16,1070.00,,
2026-05-17,1070.00,,
2026-05-18,1070.00,,
2026-05-19,1070.00,,
2026-05-20,1070.00,,
2026-05-21,1070.00,,
2026-05-22,1070.00,,
2026-05-23,1070.00,,
2026-05-24,1070.00,,
2026-05-25,1070.00,,
2026-05-26,1070.00,,
2026-05-27,1070.00,,
2026-05-28,1070.00,,
2026-05-29,1070.00,,
2026-05-30,1070.00,,
2026-05-31,1070.00,,
2026-06-01,1070.00,,
2026-06-02,1070.00,,
