date,new_price_usd,used_price_usd,used_source
2026-05-09,12700.00,,
2026-05-10,12700.00,,
2026-05-11,12700.00,,
2026-05-12,12700.00,,
2026-05-13,12700.00,,
2026-05-14,12700.00,,
2026-05-15,12700.00,,
2026-05-16,12700.00,,
2026-05-17,12700.00,,
2026-05-18,12700.00,,
2026-05-19,12700.00,,
2026-05-20,12700.00,,
2026-05-21,12700.00,,
2026-05-22,12700.00,,
2026-05-23,12700.00,,
2026-05-24,12700.00,,
2026-05-25,12700.00,,
2026-05-26,12700.00,,
2026-05-27,12700.00,,
2026-05-28,12700.00,,
2026-05-29,12700.00,,
2026-05-30,12700.00,,
2026-05-31,12700.00,,
2026-06-01,12700.00,,
2026-06-02,12700.00,,
2026-06-03,12700.00,,
2026-06-04,12700.00,,
2026-06-05,12700.00,,
2026-06-06,12700.00,,
2026-06-07,12700.00,,
2026-06-08,12700.00,,
2026-06-09,12700.00,,
2026-06-10,12700.00,,
2026-06-11,12700.00,,
2026-06-12,12700.00,,
2026-06-13,12700.00,,
2026-06-14,12700.00,,
2026-06-15,12700.00,,
2026-06-16,12700.00,,
2026-06-17,12700.00,,
2026-06-18,12700.00,,
2026-06-19,12700.00,,
2026-06-20,12700.00,,
2026-06-21,12700.00,,
2026-06-22,12700.00,,
2026-06-23,12700.00,,
2026-06-24,12700.00,,
2026-06-25,12700.00,,
2026-06-26,12700.00,,
2026-06-27,12700.00,,
2026-06-28,12700.00,,
2026-06-29,12700.00,,
2026-06-30,12700.00,,
2026-07-01,12700.00,,
2026-07-02,12700.00,,
2026-07-03,12700.00,,
2026-07-04,12700.00,,
2026-07-05,12700.00,,
2026-07-06,12700.00,,
2026-07-07,12700.00,,
2026-07-08,12700.00,,
2026-07-09,12700.00,,
2026-07-10,12700.00,,
2026-07-11,12700.00,,
2026-07-12,12700.00,,
2026-07-13,12700.00,,
2026-07-14,12700.00,,
2026-07-15,12700.00,,
2026-07-16,12700.00,,
2026-07-17,12700.00,,
2026-07-18,12700.00,,
