date,new_price_usd,used_price_usd,used_source
2026-05-09,6399.00,,
2026-05-10,6399.00,,
2026-05-11,6399.00,,
2026-05-12,6399.00,,
2026-05-13,6399.00,,
2026-05-14,6399.00,,
2026-05-15,6399.00,,
2026-05-16,6399.00,,
2026-05-17,6399.00,,
2026-05-18,6399.00,,
2026-05-19,6399.00,,
2026-05-20,6399.00,,
2026-05-21,6399.00,,
2026-05-22,6399.00,,
2026-05-23,6399.00,,
2026-05-24,6399.00,,
2026-05-25,6399.00,,
2026-05-26,6399.00,,
2026-05-27,6399.00,,
2026-05-28,6399.00,,
2026-05-29,6399.00,,
2026-05-30,6399.00,,
2026-05-31,6399.00,,
2026-06-01,6399.00,,
2026-06-02,6399.00,,
2026-06-03,6399.00,,
2026-06-04,6399.00,,
2026-06-05,6399.00,,
2026-06-06,6399.00,,
2026-06-07,6399.00,,
2026-06-08,6399.00,,
2026-06-09,6399.00,,
2026-06-10,6399.00,,
2026-06-11,6399.00,,
2026-06-12,6399.00,,
2026-06-13,6399.00,,
2026-06-14,6399.00,,
2026-06-15,6399.00,,
