date,new_price_usd,used_price_usd,used_source
2026-05-09,2320.00,,
2026-05-10,2320.00,,
2026-05-11,2320.00,,
2026-05-12,2320.00,,
2026-05-13,2320.00,,
2026-05-14,2320.00,,
2026-05-15,2320.00,,
2026-05-16,2320.00,,
2026-05-17,2320.00,,
2026-05-18,2320.00,,
2026-05-19,2320.00,,
2026-05-20,2320.00,,
2026-05-21,2320.00,,
2026-05-22,2320.00,,
2026-05-23,2320.00,,
2026-05-24,2320.00,,
2026-05-25,2320.00,,
2026-05-26,2320.00,,
2026-05-27,2320.00,,
2026-05-28,2320.00,,
2026-05-29,2320.00,,
2026-05-30,2320.00,,
2026-05-31,2320.00,,
2026-06-01,2320.00,,
2026-06-02,2320.00,,
2026-06-03,2320.00,,
2026-06-04,2320.00,,
2026-06-05,2320.00,,
2026-06-06,2320.00,,
2026-06-07,2320.00,,
2026-06-08,2320.00,,
2026-06-09,2320.00,,
2026-06-10,2320.00,,
2026-06-11,2320.00,,
2026-06-12,2320.00,,
2026-06-13,2320.00,,
2026-06-14,2320.00,,
2026-06-15,2320.00,,
2026-06-16,2320.00,,
2026-06-17,2320.00,,
