date,new_price_usd,used_price_usd,used_source
2026-05-09,10000.00,,
2026-05-10,10000.00,,
2026-05-11,10000.00,,
2026-05-12,10000.00,,
2026-05-13,10000.00,,
2026-05-14,11500.00,,
2026-05-15,11500.00,,
2026-05-16,11500.00,,
2026-05-17,11500.00,,
2026-05-18,11500.00,,
2026-05-19,11500.00,,
2026-05-20,11500.00,,
2026-05-21,11500.00,,
2026-05-22,11500.00,,
2026-05-23,11500.00,,
2026-05-24,11500.00,,
2026-05-25,11500.00,,
2026-05-26,11500.00,,
2026-05-27,11500.00,,
2026-05-28,11500.00,,
2026-05-29,11500.00,,
2026-05-30,11500.00,,
2026-05-31,11500.00,,
2026-06-01,11500.00,,
2026-06-02,11500.00,,
2026-06-03,11500.00,,
2026-06-04,11500.00,,
2026-06-05,11500.00,,
2026-06-06,11500.00,,
2026-06-07,11500.00,,
2026-06-08,11500.00,,
2026-06-09,11500.00,,
2026-06-10,11500.00,,
2026-06-11,11500.00,,
2026-06-12,11500.00,,
2026-06-13,11500.00,,
2026-06-14,11500.00,,
2026-06-15,11500.00,,
2026-06-16,11500.00,,
2026-06-17,11500.00,,
2026-06-18,11500.00,,
2026-06-19,11500.00,,
2026-06-20,11500.00,,
2026-06-21,11500.00,,
2026-06-22,11500.00,,
2026-06-23,11500.00,,
2026-06-24,11500.00,,
2026-06-25,11500.00,,
2026-06-26,11500.00,,
