date,new_price_usd,used_price_usd,used_source
2026-06-05,29800.00,,
2026-06-06,29800.00,,
2026-06-07,29800.00,,
2026-06-08,29800.00,,
2026-06-09,29800.00,,
2026-06-10,29800.00,,
2026-06-11,29800.00,,
2026-06-12,29800.00,,
2026-06-13,29800.00,,
2026-06-14,29800.00,,
2026-06-15,29800.00,,
2026-06-16,29800.00,,
2026-06-17,29800.00,,
2026-06-18,29800.00,,
2026-06-19,29800.00,,
2026-06-20,29800.00,,
2026-06-21,29800.00,,
2026-06-22,29800.00,,
2026-06-23,29800.00,,
2026-06-24,29800.00,,
2026-06-25,29800.00,,
2026-06-26,29800.00,,
2026-06-27,29800.00,,
2026-06-28,29800.00,,
2026-06-29,29800.00,,
