date,new_price_usd,used_price_usd,used_source
2026-05-09,29800.00,,
2026-05-10,29800.00,,
2026-05-11,29800.00,,
2026-05-12,29800.00,,
2026-05-13,29800.00,,
2026-05-14,29800.00,,
2026-05-15,29800.00,,
2026-05-16,29800.00,,
2026-05-17,29800.00,,
2026-05-18,29800.00,,
2026-05-19,29800.00,,
2026-05-20,29800.00,,
2026-05-21,29800.00,,
2026-05-22,29800.00,,
2026-05-23,29800.00,,
2026-05-24,29800.00,,
2026-05-25,29800.00,,
2026-05-26,29800.00,,
2026-05-27,29800.00,,
2026-05-28,29800.00,,
2026-05-29,29800.00,,
2026-05-30,29800.00,,
2026-05-31,29800.00,,
