date,new_price_usd,used_price_usd,used_source
2026-05-09,15080.00,,
2026-05-10,15080.00,,
2026-05-11,15080.00,,
2026-05-12,15080.00,,
2026-05-13,15080.00,,
2026-05-14,15080.00,,
2026-05-15,15080.00,,
2026-05-16,15080.00,,
2026-05-17,15080.00,,
2026-05-18,15080.00,,
2026-05-19,15080.00,,
2026-05-20,15080.00,,
2026-05-21,15080.00,,
2026-05-22,15080.00,,
2026-05-23,15080.00,,
2026-05-24,15080.00,,
2026-05-25,15080.00,,
2026-05-26,15080.00,,
2026-05-27,15080.00,,
2026-05-28,15080.00,,
2026-05-29,15080.00,,
2026-05-30,15080.00,,
2026-05-31,15080.00,,
2026-06-01,15080.00,,
2026-06-02,15080.00,,
2026-06-03,15080.00,,
2026-06-04,15080.00,,
2026-06-05,15080.00,,
2026-06-06,15080.00,,
2026-06-07,15080.00,,
2026-06-08,15080.00,,
2026-06-09,15080.00,,
2026-06-10,15080.00,,
2026-06-11,15080.00,,
2026-06-12,15080.00,,
2026-06-13,15080.00,,
2026-06-14,15080.00,,
2026-06-15,15080.00,,
2026-06-16,15080.00,,
2026-06-17,15080.00,,
2026-06-18,15080.00,,
2026-06-19,15080.00,,
2026-06-20,15080.00,,
2026-06-21,15080.00,,
2026-06-22,15080.00,,
2026-06-23,15080.00,,
2026-06-24,15080.00,,
2026-06-25,15080.00,,
2026-06-26,15080.00,,
2026-06-27,15080.00,,
2026-06-28,15080.00,,
2026-06-29,15080.00,,
2026-06-30,15080.00,,
2026-07-01,15080.00,,
2026-07-02,15080.00,,
2026-07-03,15080.00,,
2026-07-04,15080.00,,
2026-07-05,15080.00,,
2026-07-06,15080.00,,
2026-07-07,15080.00,,
2026-07-08,15080.00,,
2026-07-09,15080.00,,
2026-07-10,15080.00,,
2026-07-11,15080.00,,
2026-07-12,15080.00,,
2026-07-13,15080.00,,
2026-07-14,15080.00,,
2026-07-15,15080.00,,
2026-07-16,15080.00,,
2026-07-17,15080.00,,
2026-07-18,15080.00,,
2026-07-19,15080.00,,
2026-07-20,15080.00,,
2026-07-21,15080.00,,
2026-07-22,15080.00,,
2026-07-23,15080.00,,
2026-07-24,15080.00,,
2026-07-25,15080.00,,
2026-07-26,15080.00,,
2026-07-27,15080.00,,
2026-07-28,15080.00,,
2026-07-29,15080.00,,
2026-07-30,15080.00,,
2026-07-31,15080.00,,
2026-08-01,15080.00,,
2026-08-02,15080.00,,
2026-08-03,15080.00,,
2026-08-04,15080.00,,
2026-08-05,15080.00,,
2026-08-06,15080.00,,
2026-08-07,15080.00,,
2026-08-08,15080.00,,
2026-08-09,15080.00,,
2026-08-10,15080.00,,
2026-08-11,15080.00,,
2026-08-12,15080.00,,
2026-08-13,15080.00,,
2026-08-14,15080.00,,
2026-08-15,15080.00,,
2026-08-16,15080.00,,
2026-08-17,15080.00,,
2026-08-18,15080.00,,
2026-08-19,15080.00,,
2026-08-20,15080.00,,
2026-08-21,15800.00,,
2026-08-22,15800.00,,
2026-08-23,15800.00,,
2026-08-24,15800.00,,
2026-08-25,15800.00,,
2026-08-26,15800.00,,
2026-08-27,15800.00,,
2026-08-28,15800.00,,
2026-08-29,15800.00,,
2026-08-30,15800.00,,
2026-08-31,15800.00,,
2026-09-01,15800.00,,
2026-09-02,15800.00,,
2026-09-03,15800.00,,
