date,new_price_usd,used_price_usd,used_source
2026-05-09,11713.00,,
2026-05-10,11713.00,,
2026-05-11,11713.00,,
2026-05-12,11713.00,,
2026-05-13,11713.00,,
2026-05-14,11713.00,,
2026-05-15,11713.00,,
2026-05-16,11713.00,,
2026-05-17,11713.00,,
2026-05-18,11713.00,,
2026-05-19,11713.00,,
2026-05-20,11713.00,,
2026-05-21,11713.00,,
2026-05-22,11713.00,,
2026-05-23,11713.00,,
2026-05-24,11713.00,,
2026-05-25,11713.00,,
2026-05-26,11713.00,,
2026-05-27,11713.00,,
2026-05-28,11713.00,,
2026-05-29,11713.00,,
2026-05-30,11713.00,,
2026-05-31,11713.00,,
2026-06-01,11713.00,,
2026-06-02,11713.00,,
2026-06-03,11713.00,,
2026-06-04,11713.00,,
2026-06-05,11713.00,,
2026-06-06,11713.00,,
2026-06-07,11713.00,,
2026-06-08,11713.00,,
2026-06-09,11713.00,,
2026-06-10,11713.00,,
2026-06-11,11713.00,,
2026-06-12,11713.00,,
2026-06-13,11713.00,,
2026-06-14,11713.00,,
