date,new_price_usd,used_price_usd,used_source
2026-09-01,15300.00,,
2026-09-02,15300.00,,
2026-09-03,15300.00,,
2026-09-04,15300.00,,
2026-09-05,15300.00,,
2026-09-06,15300.00,,
2026-09-07,15300.00,,
2026-09-08,15300.00,,
2026-09-09,15300.00,,
2026-09-10,15300.00,,
2026-09-11,15300.00,,
2026-09-12,15300.00,,
2026-09-13,15300.00,,
2026-09-14,15300.00,,
2026-09-15,15300.00,,
2026-09-16,15300.00,,
2026-09-17,15300.00,,
2026-09-18,15300.00,,
2026-09-19,15300.00,,
2026-09-20,15300.00,,
2026-09-21,15300.00,,
2026-09-22,15300.00,,
2026-09-23,15300.00,,
2026-09-24,15300.00,,
2026-09-25,15300.00,,
2026-09-26,15300.00,,
