date,new_price_usd,used_price_usd,used_source
2026-05-09,950.00,,
2026-05-10,950.00,,
2026-05-11,950.00,,
2026-05-12,950.00,,
2026-05-13,950.00,,
2026-05-14,950.00,,
2026-05-15,950.00,,
2026-05-16,950.00,,
2026-05-17,950.00,,
2026-05-18,950.00,,
2026-05-19,950.00,,
2026-05-20,950.00,,
2026-05-21,950.00,,
2026-05-22,950.00,,
2026-05-23,950.00,,
2026-05-24,950.00,,
2026-05-25,950.00,,
2026-05-26,950.00,,
2026-05-27,950.00,,
2026-05-28,950.00,,
2026-05-29,950.00,,
2026-05-30,950.00,,
2026-05-31,950.00,,
2026-06-01,950.00,,
2026-06-02,950.00,,
2026-06-03,950.00,,
2026-06-04,950.00,,
2026-06-05,950.00,,
2026-06-06,950.00,,
2026-06-07,950.00,,
2026-06-08,950.00,,
2026-06-09,950.00,,
2026-06-10,950.00,,
2026-06-11,950.00,,
2026-06-12,950.00,,
2026-06-13,950.00,,
2026-06-14,950.00,,
2026-06-15,950.00,,
2026-06-16,950.00,,
2026-06-17,950.00,,
2026-06-18,950.00,,
2026-06-19,950.00,,
2026-06-20,950.00,,
2026-06-21,950.00,,
2026-06-22,950.00,,
2026-06-23,950.00,,
2026-06-24,950.00,,
2026-06-25,950.00,,
2026-06-26,950.00,,
2026-06-27,950.00,,
2026-06-28,950.00,,
