date,new_price_usd,used_price_usd,used_source
2026-05-09,3199.00,,
2026-05-10,3199.00,,
2026-05-11,3199.00,,
2026-05-12,3199.00,,
2026-05-13,3199.00,,
2026-05-14,3199.00,,
2026-05-15,3199.00,,
2026-05-16,3199.00,,
2026-05-17,3199.00,,
2026-05-18,3199.00,,
2026-05-19,3199.00,,
2026-05-20,3199.00,,
2026-05-21,3199.00,,
2026-05-22,3199.00,,
2026-05-23,3199.00,,
2026-05-24,3199.00,,
2026-05-25,3199.00,,
2026-05-26,3199.00,,
2026-05-27,3199.00,,
2026-05-28,3199.00,,
2026-05-29,3199.00,,
2026-05-30,3199.00,,
2026-05-31,3199.00,,
2026-06-01,3199.00,,
2026-06-02,3199.00,,
2026-06-03,3199.00,,
2026-06-04,3199.00,,
2026-06-05,3199.00,,
2026-06-06,3199.00,,
2026-06-07,3199.00,,
