date,new_price_usd,used_price_usd,used_source
2026-07-25,3600.00,,
2026-07-26,3600.00,,
2026-07-27,3600.00,,
2026-07-28,3600.00,,
2026-07-29,3600.00,,
2026-07-30,3600.00,,
2026-07-31,3600.00,,
2026-08-01,3600.00,,
2026-08-02,3600.00,,
2026-08-03,3600.00,,
2026-08-04,3600.00,,
2026-08-05,3600.00,,
2026-08-06,3600.00,,
2026-08-07,3600.00,,
2026-08-08,3600.00,,
2026-08-09,3600.00,,
2026-08-10,3600.00,,
2026-08-11,3600.00,,
2026-08-12,3600.00,,
2026-08-13,3600.00,,
2026-08-14,3600.00,,
2026-08-15,3600.00,,
2026-08-16,3600.00,,
2026-08-17,3600.00,,
2026-08-18,3600.00,,
2026-08-19,3600.00,,
2026-08-20,3600.00,,
2026-08-21,2400.00,,
2026-08-22,2400.00,,
2026-08-23,2400.00,,
2026-08-24,2400.00,,
2026-08-25,2400.00,,
2026-08-26,2400.00,,
2026-08-27,4000.00,,
2026-08-28,4000.00,,
2026-08-29,4000.00,,
2026-08-30,4000.00,,
2026-08-31,4000.00,,
2026-09-01,3000.00,,
2026-09-02,3000.00,,
