date,new_price_usd,used_price_usd,used_source
2026-05-12,3600.00,,
2026-05-13,3600.00,,
2026-05-14,3600.00,,
2026-05-15,3600.00,,
2026-05-16,3600.00,,
2026-05-17,3600.00,,
2026-05-18,3600.00,,
2026-05-20,3600.00,,
2026-05-21,3600.00,,
2026-05-22,3600.00,,
2026-05-23,3600.00,,
2026-05-24,3600.00,,
2026-05-25,3600.00,,
2026-05-26,3600.00,,
2026-05-27,3600.00,,
2026-05-28,3600.00,,
2026-05-29,4900.00,,
2026-05-30,4900.00,,
2026-05-31,4900.00,,
2026-06-01,4900.00,,
2026-06-02,4900.00,,
2026-06-03,3600.00,,
2026-06-04,3600.00,,
2026-06-08,3600.00,,
2026-06-09,3600.00,,
2026-06-10,3600.00,,
2026-06-11,3600.00,,
2026-06-12,3600.00,,
2026-06-13,3600.00,,
2026-06-14,3600.00,,
2026-06-15,3600.00,,
2026-06-16,3600.00,,
2026-06-17,3600.00,,
2026-06-18,3600.00,,
2026-06-19,3600.00,,
2026-06-20,3600.00,,
2026-06-21,3600.00,,
2026-06-22,3600.00,,
2026-06-23,3600.00,,
2026-06-24,3600.00,,
