date,new_price_usd,used_price_usd,used_source
2026-05-12,1600.00,,
2026-05-13,1600.00,,
2026-05-14,1600.00,,
2026-05-15,1600.00,,
2026-05-16,1600.00,,
2026-05-17,1600.00,,
2026-05-18,1600.00,,
2026-05-20,5350.00,,
2026-05-21,3800.00,,
2026-05-22,3800.00,,
2026-05-23,3800.00,,
2026-05-24,3800.00,,
2026-05-25,4900.00,,
2026-05-26,4900.00,,
2026-05-27,4900.00,,
2026-05-28,4900.00,,
2026-05-29,4100.00,,
2026-05-30,4100.00,,
2026-05-31,4100.00,,
2026-06-01,4100.00,,
2026-06-02,4100.00,,
2026-06-03,4100.00,,
2026-06-04,4100.00,,
2026-06-08,4100.00,,
2026-06-09,4600.00,,
2026-06-10,4600.00,,
2026-06-11,4600.00,,
2026-06-12,4600.00,,
2026-06-13,4600.00,,
2026-06-14,4600.00,,
2026-06-15,4600.00,,
2026-06-16,4600.00,,
2026-06-17,4600.00,,
2026-06-18,4600.00,,
2026-06-19,4600.00,,
2026-06-20,4600.00,,
2026-06-21,4600.00,,
2026-06-22,4600.00,,
2026-06-23,4600.00,,
2026-06-24,4600.00,,
2026-06-25,4600.00,,
2026-06-26,4600.00,,
2026-06-27,4600.00,,
2026-06-28,4600.00,,
2026-06-29,4600.00,,
2026-06-30,4600.00,,
2026-07-01,4600.00,,
2026-07-02,4600.00,,
2026-07-03,4600.00,,
2026-07-04,4600.00,,
2026-07-05,4600.00,,
2026-07-06,4600.00,,
2026-07-07,4600.00,,
2026-07-08,4600.00,,
2026-07-09,4600.00,,
2026-07-10,6500.00,,
2026-07-11,6500.00,,
2026-07-12,6500.00,,
