date,new_price_usd,used_price_usd,used_source
2026-05-09,3999.00,,
2026-05-10,3999.00,,
2026-05-11,3999.00,,
2026-05-12,3999.00,,
2026-05-13,3999.00,,
2026-05-14,3999.00,,
2026-05-15,3999.00,,
2026-05-16,3999.00,,
2026-05-17,3999.00,,
2026-05-18,3999.00,,
2026-05-19,3999.00,,
2026-05-20,3999.00,,
2026-05-21,3999.00,,
2026-05-22,3999.00,,
2026-05-23,3999.00,,
2026-05-24,3999.00,,
2026-05-25,3999.00,,
2026-05-26,3999.00,,
2026-05-27,3999.00,,
2026-05-28,3999.00,,
2026-05-29,3999.00,,
2026-05-30,3999.00,,
2026-05-31,3999.00,,
2026-06-01,3999.00,,
2026-06-02,3999.00,,
2026-06-03,3999.00,,
2026-06-04,3999.00,,
2026-06-05,3999.00,,
2026-06-06,3999.00,,
2026-06-07,3999.00,,
2026-06-08,3999.00,,
2026-06-09,3999.00,,
2026-06-10,3999.00,,
2026-06-11,3999.00,,
2026-06-12,3999.00,,
2026-06-13,3999.00,,
2026-06-14,3999.00,,
2026-06-15,3999.00,,
2026-06-16,3999.00,,
2026-06-17,3999.00,,
2026-06-18,3999.00,,
2026-06-19,3999.00,,
2026-06-20,3999.00,,
2026-06-21,3999.00,,
2026-06-22,3999.00,,
2026-06-23,3999.00,,
2026-06-24,3999.00,,
2026-06-25,3999.00,,
2026-06-26,3999.00,,
2026-06-27,3999.00,,
2026-06-28,3999.00,,
2026-06-29,3999.00,,
2026-06-30,3999.00,,
2026-07-01,3999.00,,
2026-07-02,3999.00,,
2026-07-03,3999.00,,
