date,new_price_usd,used_price_usd,used_source
2026-05-09,820.00,,
2026-05-10,820.00,,
2026-05-11,820.00,,
2026-05-12,820.00,,
2026-05-13,820.00,,
2026-05-14,820.00,,
2026-05-15,820.00,,
2026-05-16,820.00,,
2026-05-17,820.00,,
2026-05-18,820.00,,
2026-05-19,820.00,,
2026-05-20,820.00,,
2026-05-21,820.00,,
2026-05-22,820.00,,
2026-05-23,820.00,,
2026-05-24,820.00,,
2026-05-25,820.00,,
2026-05-26,820.00,,
2026-05-27,820.00,,
2026-05-28,820.00,,
2026-05-29,820.00,,
2026-05-30,820.00,,
2026-05-31,820.00,,
2026-06-01,820.00,,
