date,new_price_usd,used_price_usd,used_source
2026-05-09,6299.00,,
2026-05-10,6299.00,,
2026-05-11,6299.00,,
2026-05-12,6299.00,,
2026-05-13,6299.00,,
2026-05-14,6299.00,,
2026-05-15,6299.00,,
2026-05-16,6299.00,,
2026-05-17,6299.00,,
2026-05-18,6299.00,,
2026-05-19,6299.00,,
2026-05-20,6299.00,,
2026-05-21,6299.00,,
2026-05-22,6299.00,,
2026-05-23,6299.00,,
2026-05-24,6299.00,,
2026-05-25,6299.00,,
2026-05-26,6299.00,,
2026-05-27,6299.00,,
2026-05-28,6299.00,,
2026-05-29,6299.00,,
2026-05-30,6299.00,,
2026-05-31,6299.00,,
2026-06-01,6299.00,,
2026-06-02,6299.00,,
2026-06-03,6299.00,,
2026-06-04,6299.00,,
2026-06-05,6299.00,,
2026-06-06,6299.00,,
2026-06-07,6299.00,,
2026-06-08,6299.00,,
2026-06-09,6299.00,,
2026-06-10,6299.00,,
2026-06-11,6299.00,,
2026-06-12,6299.00,,
2026-06-13,6299.00,,
2026-06-14,6299.00,,
2026-06-15,6299.00,,
2026-06-16,6299.00,,
2026-06-17,6299.00,,
2026-06-18,6299.00,,
2026-06-19,6299.00,,
2026-06-20,6299.00,,
2026-06-21,6299.00,,
2026-06-22,6299.00,,
2026-06-23,6299.00,,
2026-06-24,6299.00,,
2026-06-25,6299.00,,
2026-06-26,6299.00,,
2026-06-27,6299.00,,
2026-06-28,6299.00,,
2026-06-29,6299.00,,
2026-06-30,6299.00,,
2026-07-01,6299.00,,
2026-07-02,6299.00,,
2026-07-03,6299.00,,
2026-07-04,6299.00,,
2026-07-05,6299.00,,
2026-07-06,6299.00,,
2026-07-07,6299.00,,
2026-07-08,6299.00,,
2026-07-09,6299.00,,
2026-07-10,6299.00,,
2026-07-11,6299.00,,
2026-07-12,6299.00,,
2026-07-13,6299.00,,
2026-07-14,6299.00,,
