date,new_price_usd,used_price_usd,used_source
2026-07-10,3999.00,,
2026-07-11,3999.00,,
2026-07-12,3999.00,,
2026-07-13,3999.00,,
2026-07-14,3999.00,,
2026-07-15,3999.00,,
2026-07-16,3999.00,,
2026-07-17,3999.00,,
2026-07-18,3999.00,,
2026-07-19,3999.00,,
2026-07-20,3999.00,,
2026-07-21,3999.00,,
2026-07-22,3999.00,,
2026-07-23,3999.00,,
2026-07-24,3999.00,,
2026-07-25,3999.00,,
2026-07-26,3999.00,,
2026-07-27,3999.00,,
2026-07-28,3999.00,,
2026-07-29,3999.00,,
2026-07-30,3999.00,,
2026-07-31,3999.00,,
2026-08-01,3999.00,,
2026-08-02,3999.00,,
2026-08-03,3999.00,,
2026-08-04,3999.00,,
2026-08-05,3999.00,,
2026-08-06,3999.00,,
2026-08-07,3999.00,,
2026-08-08,3999.00,,
2026-08-09,3999.00,,
2026-08-10,3999.00,,
2026-08-11,3999.00,,
2026-08-12,3999.00,,
2026-08-13,3999.00,,
2026-08-14,3999.00,,
2026-08-15,3999.00,,
2026-08-16,3999.00,,
2026-08-17,3999.00,,
