date,new_price_usd,used_price_usd,used_source
2026-05-09,2800.00,,
2026-05-10,2800.00,,
2026-05-11,2800.00,,
2026-05-12,2800.00,,
2026-05-13,2800.00,,
2026-05-14,2800.00,,
2026-05-15,2800.00,,
2026-05-16,2800.00,,
2026-05-17,2800.00,,
2026-05-18,2800.00,,
2026-05-19,2800.00,,
2026-05-20,2800.00,,
2026-05-21,2800.00,,
2026-05-22,2800.00,,
2026-05-23,2800.00,,
2026-05-24,2800.00,,
2026-05-25,2800.00,,
2026-05-26,2800.00,,
2026-05-27,2800.00,,
2026-05-28,2800.00,,
2026-05-29,2800.00,,
2026-05-30,2800.00,,
2026-05-31,2800.00,,
2026-06-01,2800.00,,
2026-06-02,2800.00,,
2026-06-03,2800.00,,
2026-06-04,2800.00,,
2026-06-05,2800.00,,
2026-06-06,2800.00,,
2026-06-07,2800.00,,
2026-06-08,2800.00,,
2026-06-09,2800.00,,
