date,new_price_usd,used_price_usd,used_source
2026-05-09,4480.00,,
2026-05-10,4480.00,,
2026-05-11,4480.00,,
2026-05-12,4480.00,,
2026-05-13,4480.00,,
2026-05-14,4480.00,,
2026-05-15,4480.00,,
2026-05-16,4480.00,,
2026-05-17,4480.00,,
2026-05-18,4480.00,,
2026-05-19,4480.00,,
2026-05-20,4480.00,,
2026-05-21,4480.00,,
2026-05-22,4480.00,,
2026-05-23,4480.00,,
2026-05-24,4480.00,,
2026-05-25,4480.00,,
2026-05-26,4480.00,,
2026-05-27,4480.00,,
2026-05-28,4480.00,,
2026-05-29,4480.00,,
2026-05-30,4480.00,,
2026-05-31,4480.00,,
2026-06-01,4480.00,,
2026-06-02,4480.00,,
2026-06-03,4480.00,,
2026-06-04,4480.00,,
2026-06-05,4480.00,,
2026-06-06,4480.00,,
2026-06-07,4480.00,,
2026-06-08,4480.00,,
2026-06-09,4480.00,,
2026-06-10,4480.00,,
2026-06-11,4480.00,,
2026-06-12,4480.00,,
2026-06-13,4480.00,,
2026-06-14,4480.00,,
2026-06-15,4480.00,,
2026-06-16,4480.00,,
2026-06-17,4480.00,,
2026-06-18,4480.00,,
2026-06-19,4480.00,,
2026-06-20,4480.00,,
2026-06-21,4480.00,,
2026-06-22,4480.00,,
2026-06-23,4480.00,,
2026-06-24,4480.00,,
2026-06-25,4480.00,,
2026-06-26,4480.00,,
2026-06-27,4480.00,,
2026-06-28,4480.00,,
2026-06-29,4480.00,,
2026-06-30,4480.00,,
2026-07-01,4480.00,,
2026-07-02,4480.00,,
2026-07-03,4480.00,,
2026-07-04,4480.00,,
2026-07-05,4480.00,,
2026-07-06,4480.00,,
