date,new_price_usd,used_price_usd,used_source
2026-05-09,9250.00,,
2026-05-10,9250.00,,
2026-05-11,9250.00,,
2026-05-12,9250.00,,
2026-05-13,9250.00,,
2026-05-14,9250.00,,
2026-05-15,9250.00,,
2026-05-16,9250.00,,
2026-05-17,9250.00,,
2026-05-18,9250.00,,
2026-05-19,9250.00,,
2026-05-20,9250.00,,
2026-05-21,9250.00,,
2026-05-22,9250.00,,
2026-05-23,9250.00,,
2026-05-24,9250.00,,
2026-05-25,9250.00,,
2026-05-26,9250.00,,
2026-05-27,9250.00,,
2026-05-28,9250.00,,
2026-05-29,9250.00,,
2026-05-30,9250.00,,
2026-05-31,9250.00,,
2026-06-01,9250.00,,
2026-06-02,9250.00,,
2026-06-03,9250.00,,
2026-06-04,9250.00,,
2026-06-05,9250.00,,
2026-06-06,9250.00,,
2026-06-07,9250.00,,
2026-06-08,9250.00,,
2026-06-09,9250.00,,
2026-06-10,9250.00,,
2026-06-11,9250.00,,
2026-06-12,9250.00,,
2026-06-13,9250.00,,
2026-06-14,9250.00,,
2026-06-15,9250.00,,
