date,new_price_usd,used_price_usd,used_source
2026-06-13,190.00,,
2026-06-14,190.00,,
2026-06-15,190.00,,
2026-06-16,190.00,,
2026-06-17,190.00,,
2026-06-18,190.00,,
2026-06-19,190.00,,
2026-06-20,190.00,,
2026-06-21,190.00,,
2026-06-22,190.00,,
2026-06-23,190.00,,
2026-06-24,190.00,,
2026-06-25,190.00,,
2026-06-26,190.00,,
2026-06-27,190.00,,
2026-06-28,190.00,,
2026-06-29,190.00,,
2026-06-30,190.00,,
2026-07-01,190.00,,
2026-07-02,190.00,,
2026-07-03,190.00,,
2026-07-04,190.00,,
2026-07-05,190.00,,
2026-07-06,190.00,,
2026-07-07,190.00,,
2026-07-08,190.00,,
2026-07-09,190.00,,
2026-07-10,190.00,,
2026-07-11,190.00,,
2026-07-12,190.00,,
2026-07-13,190.00,,
2026-07-14,190.00,,
2026-07-15,190.00,,
2026-07-16,190.00,,
2026-07-17,190.00,,
