date,new_price_usd,used_price_usd,used_source
2026-05-09,2999.00,,
2026-05-10,2999.00,,
2026-05-11,2999.00,,
2026-05-12,2999.00,,
2026-05-13,2999.00,,
2026-05-14,2999.00,,
2026-05-15,2999.00,,
2026-05-16,2999.00,,
2026-05-17,2999.00,,
2026-05-18,2999.00,,
2026-05-19,2999.00,,
2026-05-20,2999.00,,
2026-05-21,2999.00,,
2026-05-22,2999.00,,
2026-05-23,2999.00,,
2026-05-24,2999.00,,
2026-05-25,2999.00,,
2026-05-26,2999.00,,
2026-05-27,2999.00,,
2026-05-28,2999.00,,
2026-05-29,2999.00,,
2026-05-30,2999.00,,
2026-05-31,2999.00,,
2026-06-01,2999.00,,
2026-06-02,2999.00,,
2026-06-03,2999.00,,
2026-06-04,2999.00,,
2026-06-05,2999.00,,
2026-06-06,2999.00,,
2026-06-07,2999.00,,
2026-06-08,2999.00,,
2026-06-09,2999.00,,
2026-06-10,2999.00,,
2026-06-11,2999.00,,
2026-06-12,2999.00,,
2026-06-13,2999.00,,
2026-06-14,2999.00,,
