date,new_price_usd,used_price_usd,used_source
2026-05-09,10499.00,,
2026-05-10,10499.00,,
2026-05-11,10499.00,,
2026-05-12,10499.00,,
2026-05-13,10499.00,,
2026-05-14,10499.00,,
2026-05-15,10499.00,,
2026-05-16,10499.00,,
2026-05-17,10499.00,,
2026-05-18,10499.00,,
2026-05-19,10499.00,,
2026-05-20,10499.00,,
2026-05-21,10499.00,,
2026-05-22,10499.00,,
2026-05-23,10499.00,,
2026-05-24,10499.00,,
2026-05-25,10499.00,,
2026-05-26,10499.00,,
2026-05-27,10499.00,,
2026-05-28,10499.00,,
2026-05-29,10499.00,,
2026-05-30,10499.00,,
2026-05-31,10499.00,,
2026-06-01,10499.00,,
2026-06-02,10499.00,,
2026-06-03,10499.00,,
2026-06-04,10499.00,,
2026-06-05,10499.00,,
2026-06-06,10499.00,,
2026-06-07,10499.00,,
2026-06-08,10499.00,,
2026-06-09,10499.00,,
2026-06-10,10499.00,,
2026-06-11,10499.00,,
