date,new_price_usd,used_price_usd,used_source
2026-05-09,590.00,,
2026-05-10,590.00,,
2026-05-11,590.00,,
2026-05-12,590.00,,
2026-05-13,590.00,,
2026-05-14,590.00,,
2026-05-15,590.00,,
2026-05-16,590.00,,
2026-05-17,590.00,,
2026-05-18,590.00,,
2026-05-19,590.00,,
2026-05-20,590.00,,
2026-05-21,590.00,,
2026-05-22,590.00,,
2026-05-23,590.00,,
2026-05-24,590.00,,
2026-05-25,590.00,,
2026-05-26,590.00,,
2026-05-27,590.00,,
2026-05-28,590.00,,
2026-05-29,590.00,,
2026-05-30,590.00,,
2026-05-31,590.00,,
2026-06-01,590.00,,
2026-06-02,590.00,,
2026-06-03,590.00,,
2026-06-04,590.00,,
2026-06-05,590.00,,
2026-06-06,590.00,,
2026-06-07,590.00,,
2026-06-08,590.00,,
2026-06-09,590.00,,
2026-06-10,590.00,,
2026-06-11,590.00,,
2026-06-12,590.00,,
2026-06-13,590.00,,
2026-06-14,590.00,,
2026-06-15,590.00,,
2026-06-16,590.00,,
2026-06-17,590.00,,
2026-06-18,590.00,,
2026-06-19,590.00,,
2026-06-20,590.00,,
2026-06-21,590.00,,
2026-06-22,590.00,,
2026-06-23,590.00,,
2026-06-24,590.00,,
2026-06-25,590.00,,
2026-06-26,590.00,,
2026-06-27,590.00,,
2026-06-28,590.00,,
