date,new_price_usd,used_price_usd,used_source
2026-05-09,7190.00,,
2026-05-10,7190.00,,
2026-05-11,7190.00,,
2026-05-12,7190.00,,
2026-05-13,7190.00,,
2026-05-14,7190.00,,
2026-05-15,7190.00,,
2026-05-16,7190.00,,
2026-05-17,7190.00,,
2026-05-18,7190.00,,
2026-05-19,7190.00,,
2026-05-20,7190.00,,
2026-05-21,7190.00,,
2026-05-22,7190.00,,
2026-05-23,7190.00,,
2026-05-24,7190.00,,
2026-05-25,7190.00,,
2026-05-26,7190.00,,
2026-05-27,7190.00,,
2026-05-28,7190.00,,
2026-05-29,7190.00,,
2026-05-30,7190.00,,
2026-05-31,7190.00,,
2026-06-01,7190.00,,
2026-06-02,7190.00,,
2026-06-03,7190.00,,
2026-06-04,7190.00,,
2026-06-05,7190.00,,
2026-06-06,7190.00,,
2026-06-07,7190.00,,
