date,new_price_usd,used_price_usd,used_source
2026-09-02,10190.00,,
2026-09-03,10190.00,,
2026-09-04,10190.00,,
2026-09-05,10190.00,,
2026-09-06,10190.00,,
2026-09-07,10190.00,,
2026-09-08,10190.00,,
2026-09-09,10190.00,,
2026-09-10,10190.00,,
2026-09-11,10190.00,,
2026-09-12,10190.00,,
2026-09-13,10190.00,,
2026-09-14,10190.00,,
2026-09-15,10190.00,,
2026-09-16,10190.00,,
2026-09-17,10190.00,,
2026-09-18,10190.00,,
2026-09-19,10190.00,,
2026-09-20,10190.00,,
2026-09-21,10190.00,,
2026-09-22,10190.00,,
2026-09-23,10190.00,,
2026-09-24,10190.00,,
2026-09-25,10190.00,,
