date,new_price_usd,used_price_usd,used_source
2026-05-09,2950.00,,
2026-05-10,2950.00,,
2026-05-11,2950.00,,
2026-05-12,2950.00,,
2026-05-13,2950.00,,
2026-05-14,2950.00,,
2026-05-15,2950.00,,
2026-05-16,2950.00,,
2026-05-17,2950.00,,
2026-05-18,2950.00,,
2026-05-19,2950.00,,
2026-05-20,2950.00,,
2026-05-21,2950.00,,
2026-05-22,2950.00,,
2026-05-23,2950.00,,
2026-05-24,2950.00,,
2026-05-25,2950.00,,
2026-05-26,2950.00,,
2026-05-27,2950.00,,
2026-05-28,2950.00,,
2026-05-29,2950.00,,
2026-05-30,2950.00,,
2026-05-31,2950.00,,
2026-06-01,2950.00,,
2026-06-02,2950.00,,
