date,new_price_usd,used_price_usd,used_source
2026-05-09,1890.00,,
2026-05-10,1890.00,,
2026-05-11,1890.00,,
2026-05-12,1890.00,,
2026-05-13,1890.00,,
2026-05-14,1890.00,,
2026-05-15,1890.00,,
2026-05-16,1890.00,,
2026-05-17,1890.00,,
2026-05-18,1890.00,,
2026-05-19,1890.00,,
2026-05-20,1890.00,,
2026-05-21,1890.00,,
2026-05-22,1890.00,,
2026-05-23,1890.00,,
2026-05-24,1890.00,,
2026-05-25,1890.00,,
2026-05-26,1890.00,,
2026-05-27,1890.00,,
2026-05-28,1890.00,,
2026-05-29,1890.00,,
2026-05-30,1890.00,,
2026-05-31,1890.00,,
2026-06-01,1890.00,,
