date,new_price_usd,used_price_usd,used_source
2026-05-09,3929.00,,
2026-05-10,3929.00,,
2026-05-11,3929.00,,
2026-05-12,3929.00,,
2026-05-13,3929.00,,
2026-05-14,3929.00,,
2026-05-15,3929.00,,
2026-05-16,3929.00,,
2026-05-17,3929.00,,
2026-05-18,3929.00,,
2026-05-19,3929.00,,
2026-05-20,3929.00,,
2026-05-21,3929.00,,
2026-05-22,3929.00,,
2026-05-23,3929.00,,
2026-05-24,3929.00,,
2026-05-25,3929.00,,
2026-05-26,3929.00,,
2026-05-27,3929.00,,
2026-05-28,3929.00,,
2026-05-29,3929.00,,
2026-05-30,3929.00,,
2026-05-31,3929.00,,
2026-06-01,3929.00,,
2026-06-02,3929.00,,
2026-06-03,3929.00,,
2026-06-04,3929.00,,
2026-06-05,3929.00,,
2026-06-06,3929.00,,
2026-06-07,3929.00,,
2026-06-08,3929.00,,
2026-06-09,3929.00,,
2026-06-10,3929.00,,
2026-06-11,3929.00,,
2026-06-12,3929.00,,
2026-06-13,3929.00,,
2026-06-14,3929.00,,
2026-06-15,3929.00,,
2026-06-16,3929.00,,
2026-06-17,3929.00,,
2026-06-18,3929.00,,
2026-06-19,3929.00,,
2026-06-20,3929.00,,
2026-06-21,3929.00,,
2026-06-22,3929.00,,
2026-06-23,3929.00,,
2026-06-24,3929.00,,
2026-06-25,3929.00,,
2026-06-26,3929.00,,
