date,new_price_usd,used_price_usd,used_source
2026-05-09,4499.00,,
2026-05-10,4499.00,,
2026-05-11,4499.00,,
2026-05-12,4499.00,,
2026-05-13,4499.00,,
2026-05-14,4499.00,,
2026-05-15,4499.00,,
2026-05-16,4499.00,,
2026-05-17,4499.00,,
2026-05-18,4499.00,,
2026-05-19,4499.00,,
2026-05-20,4499.00,,
2026-05-21,4499.00,,
2026-05-22,4499.00,,
2026-05-23,4499.00,,
2026-05-24,4499.00,,
2026-05-25,4499.00,,
2026-05-26,4499.00,,
2026-05-27,4499.00,,
2026-05-28,4499.00,,
2026-05-29,4499.00,,
2026-05-30,4499.00,,
2026-05-31,4499.00,,
2026-06-01,4499.00,,
2026-06-02,4499.00,,
2026-06-03,4499.00,,
2026-06-04,4499.00,,
2026-06-05,4499.00,,
2026-06-06,4499.00,,
2026-06-07,4499.00,,
2026-06-08,4499.00,,
2026-06-09,4499.00,,
2026-06-10,4499.00,,
