date,new_price_usd,used_price_usd,used_source
2026-05-09,150.00,,
2026-05-10,150.00,,
2026-05-11,150.00,,
2026-05-12,150.00,,
2026-05-13,150.00,,
2026-05-14,150.00,,
2026-05-15,150.00,,
2026-05-16,150.00,,
2026-05-17,150.00,,
2026-05-18,150.00,,
2026-05-19,150.00,,
2026-05-20,150.00,,
2026-05-21,150.00,,
2026-05-22,150.00,,
2026-05-23,150.00,,
2026-05-24,150.00,,
2026-05-25,150.00,,
2026-05-26,150.00,,
2026-05-27,150.00,,
2026-05-28,150.00,,
2026-05-29,150.00,,
2026-05-30,150.00,,
2026-05-31,150.00,,
2026-06-01,150.00,,
2026-06-02,150.00,,
2026-06-03,150.00,,
2026-06-04,150.00,,
2026-06-05,150.00,,
2026-06-06,150.00,,
2026-06-07,150.00,,
2026-06-08,150.00,,
2026-06-09,150.00,,
2026-06-10,150.00,,
2026-06-11,150.00,,
2026-06-12,150.00,,
2026-06-13,150.00,,
2026-06-14,150.00,,
2026-06-15,150.00,,
2026-06-16,150.00,,
2026-06-17,150.00,,
2026-06-18,150.00,,
2026-06-19,150.00,,
2026-06-20,150.00,,
2026-06-21,150.00,,
2026-06-22,150.00,,
2026-06-23,150.00,,
2026-06-24,150.00,,
2026-06-25,150.00,,
2026-06-26,150.00,,
2026-06-27,150.00,,
2026-06-28,150.00,,
2026-06-29,150.00,,
2026-06-30,150.00,,
2026-07-01,150.00,,
2026-07-02,150.00,,
2026-07-03,150.00,,
2026-07-04,150.00,,
2026-07-05,150.00,,
2026-07-06,150.00,,
2026-07-07,150.00,,
2026-07-08,150.00,,
2026-07-09,150.00,,
2026-07-10,150.00,,
2026-07-11,150.00,,
2026-07-12,150.00,,
2026-07-13,150.00,,
2026-07-14,150.00,,
2026-07-15,150.00,,
2026-07-16,150.00,,
2026-07-17,150.00,,
2026-07-18,150.00,,
2026-07-19,150.00,,
2026-07-20,150.00,,
2026-07-21,150.00,,
2026-07-22,150.00,,
2026-07-23,150.00,,
2026-07-24,150.00,,
2026-07-25,150.00,,
2026-07-26,150.00,,
2026-07-27,150.00,,
2026-07-28,150.00,,
2026-07-29,150.00,,
2026-07-30,150.00,,
2026-07-31,150.00,,
2026-08-01,150.00,,
2026-08-02,150.00,,
2026-08-03,150.00,,
2026-08-04,150.00,,
2026-08-05,150.00,,
2026-08-06,150.00,,
2026-08-07,150.00,,
2026-08-08,150.00,,
2026-08-09,150.00,,
2026-08-10,150.00,,
2026-08-11,150.00,,
2026-08-12,150.00,,
2026-08-13,150.00,,
2026-08-14,150.00,,
2026-08-15,150.00,,
2026-08-16,150.00,,
2026-08-17,150.00,,
2026-08-18,150.00,,
2026-08-19,150.00,,
