date,new_price_usd,used_price_usd,used_source
2026-05-09,299.00,,
2026-05-10,299.00,,
2026-05-11,299.00,,
2026-05-12,299.00,,
2026-05-13,299.00,,
2026-05-14,299.00,,
2026-05-15,299.00,,
2026-05-16,299.00,,
2026-05-17,299.00,,
2026-05-18,299.00,,
2026-05-19,299.00,,
2026-05-20,299.00,,
2026-05-21,299.00,,
2026-05-22,299.00,,
2026-05-23,299.00,,
2026-05-24,299.00,,
2026-05-25,299.00,,
2026-05-26,299.00,,
2026-05-27,299.00,,
2026-05-28,299.00,,
2026-05-29,299.00,,
2026-05-30,299.00,,
2026-05-31,299.00,,
2026-06-01,299.00,,
2026-06-02,299.00,,
2026-06-03,299.00,,
2026-06-04,299.00,,
2026-06-05,299.00,,
2026-06-06,299.00,,
2026-06-07,299.00,,
2026-06-08,299.00,,
2026-06-09,299.00,,
2026-06-10,299.00,,
2026-06-11,299.00,,
2026-06-12,299.00,,
