date,new_price_usd,used_price_usd,used_source
2026-05-09,1050.00,,
2026-05-10,1050.00,,
2026-05-11,1050.00,,
2026-05-12,1050.00,,
2026-05-13,1050.00,,
2026-05-14,1050.00,,
2026-05-15,1050.00,,
2026-05-16,1050.00,,
2026-05-17,1050.00,,
2026-05-18,1050.00,,
2026-05-19,1050.00,,
2026-05-20,1050.00,,
2026-05-21,1050.00,,
2026-05-22,1050.00,,
2026-05-23,1050.00,,
2026-05-24,1050.00,,
2026-05-25,1050.00,,
2026-05-26,1050.00,,
2026-05-27,1050.00,,
2026-05-28,1050.00,,
2026-05-29,1050.00,,
2026-05-30,1050.00,,
2026-05-31,1050.00,,
2026-06-01,1050.00,,
2026-06-02,1050.00,,
2026-06-03,1050.00,,
2026-06-04,1050.00,,
2026-06-05,1050.00,,
2026-06-06,1050.00,,
2026-06-07,1050.00,,
2026-06-08,1050.00,,
2026-06-09,1050.00,,
2026-06-10,1050.00,,
2026-06-11,1050.00,,
2026-06-12,1050.00,,
2026-06-13,1050.00,,
2026-06-14,1050.00,,
2026-06-15,1050.00,,
2026-06-16,1050.00,,
