date,new_price_usd,used_price_usd,used_source
2026-05-09,540.00,,
2026-05-10,540.00,,
2026-05-11,540.00,,
2026-05-12,540.00,,
2026-05-13,540.00,,
2026-05-14,540.00,,
2026-05-15,540.00,,
2026-05-16,540.00,,
2026-05-17,540.00,,
2026-05-18,540.00,,
2026-05-19,540.00,,
2026-05-20,540.00,,
2026-05-21,540.00,,
2026-05-22,540.00,,
2026-05-23,540.00,,
2026-05-24,540.00,,
2026-05-25,540.00,,
2026-05-26,540.00,,
2026-05-27,540.00,,
2026-05-28,540.00,,
2026-05-29,540.00,,
2026-05-30,540.00,,
2026-05-31,540.00,,
2026-06-01,540.00,,
2026-06-02,540.00,,
2026-06-03,540.00,,
2026-06-04,540.00,,
2026-06-05,540.00,,
2026-06-06,540.00,,
