date,new_price_usd,used_price_usd,used_source
2026-05-09,799.00,,
2026-05-10,799.00,,
2026-05-11,799.00,,
2026-05-12,799.00,,
2026-05-13,799.00,,
2026-05-14,799.00,,
2026-05-15,799.00,,
2026-05-16,799.00,,
2026-05-17,799.00,,
2026-05-18,799.00,,
2026-05-19,799.00,,
2026-05-20,799.00,,
2026-05-21,799.00,,
2026-05-22,799.00,,
2026-05-23,799.00,,
2026-05-24,799.00,,
2026-05-25,799.00,,
2026-05-26,799.00,,
2026-05-27,799.00,,
2026-05-28,799.00,,
2026-05-29,799.00,,
2026-05-30,799.00,,
2026-05-31,799.00,,
2026-06-01,799.00,,
2026-06-02,799.00,,
2026-06-03,799.00,,
2026-06-04,799.00,,
2026-06-05,799.00,,
2026-06-06,799.00,,
2026-06-07,799.00,,
2026-06-08,799.00,,
2026-06-09,799.00,,
2026-06-10,799.00,,
2026-06-11,799.00,,
2026-06-12,799.00,,
2026-06-13,799.00,,
2026-06-14,799.00,,
2026-06-15,799.00,,
2026-06-16,799.00,,
2026-06-17,799.00,,
2026-06-18,799.00,,
2026-06-19,799.00,,
2026-06-20,799.00,,
2026-06-21,799.00,,
2026-06-22,799.00,,
2026-06-23,799.00,,
2026-06-24,799.00,,
2026-06-25,799.00,,
2026-06-26,799.00,,
2026-06-27,799.00,,
