date,new_price_usd,used_price_usd,used_source
2026-05-09,480.00,,
2026-05-10,480.00,,
2026-05-11,480.00,,
2026-05-12,480.00,,
2026-05-13,480.00,,
2026-05-14,480.00,,
2026-05-15,480.00,,
2026-05-16,480.00,,
2026-05-17,480.00,,
2026-05-18,480.00,,
2026-05-19,480.00,,
2026-05-20,480.00,,
2026-05-21,480.00,,
2026-05-22,480.00,,
2026-05-23,480.00,,
2026-05-24,480.00,,
2026-05-25,480.00,,
2026-05-26,480.00,,
2026-05-27,480.00,,
2026-05-28,480.00,,
2026-05-29,480.00,,
2026-05-30,480.00,,
2026-05-31,480.00,,
2026-06-01,480.00,,
2026-06-02,480.00,,
2026-06-03,480.00,,
2026-06-04,480.00,,
2026-06-05,480.00,,
2026-06-06,480.00,,
2026-06-07,480.00,,
