date,new_price_usd,used_price_usd,used_source
2026-05-09,218.00,,
2026-05-10,218.00,,
2026-05-11,218.00,,
2026-05-12,218.00,,
2026-05-13,218.00,,
2026-05-14,218.00,,
2026-05-15,218.00,,
2026-05-16,218.00,,
2026-05-17,218.00,,
2026-05-18,218.00,,
2026-05-19,218.00,,
2026-05-20,218.00,,
2026-05-21,218.00,,
2026-05-22,218.00,,
2026-05-23,218.00,,
2026-05-24,218.00,,
2026-05-25,218.00,,
2026-05-26,218.00,,
2026-05-27,218.00,,
2026-05-28,218.00,,
2026-05-29,218.00,,
2026-05-30,218.00,,
2026-05-31,218.00,,
2026-06-01,218.00,,
2026-06-02,218.00,,
2026-06-03,218.00,,
2026-06-04,218.00,,
2026-06-05,218.00,,
2026-06-06,218.00,,
2026-06-07,218.00,,
2026-06-08,218.00,,
2026-06-09,218.00,,
2026-06-10,218.00,,
2026-06-11,218.00,,
2026-06-12,218.00,,
2026-06-13,218.00,,
2026-06-14,218.00,,
2026-06-15,218.00,,
2026-06-16,218.00,,
2026-06-17,218.00,,
