date,new_price_usd,used_price_usd,used_source
2026-05-09,248.00,,
2026-05-10,248.00,,
2026-05-11,248.00,,
2026-05-12,248.00,,
2026-05-13,248.00,,
2026-05-14,248.00,,
2026-05-15,248.00,,
2026-05-16,248.00,,
2026-05-17,248.00,,
2026-05-18,248.00,,
2026-05-19,248.00,,
2026-05-20,248.00,,
2026-05-21,248.00,,
2026-05-22,248.00,,
2026-05-23,248.00,,
2026-05-24,248.00,,
2026-05-25,248.00,,
2026-05-26,248.00,,
2026-05-27,248.00,,
2026-05-28,248.00,,
2026-05-29,248.00,,
2026-05-30,248.00,,
2026-05-31,248.00,,
2026-06-01,248.00,,
2026-06-02,248.00,,
2026-06-03,248.00,,
2026-06-04,248.00,,
2026-06-05,248.00,,
2026-06-06,248.00,,
2026-06-07,248.00,,
2026-06-08,248.00,,
2026-06-09,248.00,,
2026-06-10,248.00,,
2026-06-11,248.00,,
2026-06-12,248.00,,
2026-06-13,248.00,,
2026-06-14,248.00,,
2026-06-15,248.00,,
2026-06-16,248.00,,
2026-06-17,248.00,,
2026-06-18,248.00,,
2026-06-19,248.00,,
2026-06-20,248.00,,
