date,new_price_usd,used_price_usd,used_source
2026-05-09,452.00,,
2026-05-10,452.00,,
2026-05-11,452.00,,
2026-05-12,452.00,,
2026-05-13,452.00,,
2026-05-14,452.00,,
2026-05-15,452.00,,
2026-05-16,452.00,,
2026-05-17,452.00,,
2026-05-18,452.00,,
2026-05-19,452.00,,
2026-05-20,452.00,,
2026-05-21,452.00,,
2026-05-22,452.00,,
2026-05-23,452.00,,
2026-05-24,452.00,,
2026-05-25,452.00,,
2026-05-26,452.00,,
2026-05-27,452.00,,
2026-05-28,452.00,,
2026-05-29,452.00,,
2026-05-30,452.00,,
2026-05-31,452.00,,
2026-06-01,452.00,,
2026-06-02,452.00,,
2026-06-03,452.00,,
2026-06-04,452.00,,
2026-06-05,452.00,,
2026-06-06,452.00,,
2026-06-07,452.00,,
2026-06-08,452.00,,
2026-06-09,452.00,,
2026-06-10,452.00,,
2026-06-11,452.00,,
2026-06-12,452.00,,
2026-06-13,452.00,,
2026-06-14,452.00,,
2026-06-15,452.00,,
2026-06-16,452.00,,
2026-06-17,452.00,,
2026-06-18,452.00,,
2026-06-19,452.00,,
2026-06-20,452.00,,
2026-06-21,452.00,,
2026-06-22,452.00,,
2026-06-23,452.00,,
2026-06-24,452.00,,
2026-06-25,452.00,,
2026-06-26,452.00,,
2026-06-27,452.00,,
2026-06-28,452.00,,
2026-06-29,452.00,,
2026-06-30,452.00,,
2026-07-01,452.00,,
2026-07-02,452.00,,
2026-07-03,452.00,,
2026-07-04,452.00,,
2026-07-05,452.00,,
2026-07-06,452.00,,
2026-07-07,452.00,,
2026-07-08,452.00,,
2026-07-09,452.00,,
2026-07-10,452.00,,
2026-07-11,452.00,,
2026-07-12,452.00,,
2026-07-13,452.00,,
2026-07-14,452.00,,
