date,new_price_usd,used_price_usd,used_source
2026-05-09,1529.00,,
2026-05-10,1529.00,,
2026-05-11,1529.00,,
2026-05-12,1529.00,,
2026-05-13,1529.00,,
2026-05-14,1529.00,,
2026-05-15,1529.00,,
2026-05-16,1529.00,,
2026-05-17,1529.00,,
2026-05-18,1529.00,,
2026-05-19,1529.00,,
2026-05-20,1529.00,,
2026-05-21,1529.00,,
2026-05-22,1529.00,,
2026-05-23,1529.00,,
2026-05-24,1529.00,,
2026-05-25,1529.00,,
2026-05-26,1529.00,,
2026-05-27,1529.00,,
2026-05-28,1529.00,,
2026-05-29,1529.00,,
2026-05-30,1529.00,,
2026-05-31,1529.00,,
2026-06-01,1529.00,,
2026-06-02,1529.00,,
2026-06-03,1529.00,,
2026-06-04,1529.00,,
2026-06-05,1529.00,,
2026-06-06,1529.00,,
2026-06-07,1529.00,,
2026-06-08,1529.00,,
2026-06-09,1529.00,,
2026-06-10,1529.00,,
2026-06-11,1529.00,,
2026-06-12,1529.00,,
2026-06-13,1529.00,,
2026-06-14,1529.00,,
2026-06-15,1529.00,,
2026-06-16,1529.00,,
2026-06-17,1529.00,,
2026-06-18,1529.00,,
2026-06-19,1529.00,,
2026-06-20,1529.00,,
2026-06-21,1529.00,,
2026-06-22,1529.00,,
2026-06-23,1529.00,,
