date,new_price_usd,used_price_usd,used_source
2026-05-09,990.00,,
2026-05-10,990.00,,
2026-05-11,990.00,,
2026-05-12,990.00,,
2026-05-13,990.00,,
2026-05-14,990.00,,
2026-05-15,990.00,,
2026-05-16,990.00,,
2026-05-17,990.00,,
2026-05-18,990.00,,
2026-05-19,990.00,,
2026-05-20,990.00,,
2026-05-21,990.00,,
2026-05-22,990.00,,
2026-05-23,990.00,,
2026-05-24,990.00,,
2026-05-25,990.00,,
2026-05-26,990.00,,
2026-05-27,990.00,,
2026-05-28,990.00,,
2026-05-29,990.00,,
2026-05-30,990.00,,
2026-05-31,990.00,,
2026-06-01,990.00,,
2026-06-02,990.00,,
2026-06-03,990.00,,
2026-06-04,990.00,,
2026-06-05,990.00,,
2026-06-06,990.00,,
2026-06-07,990.00,,
2026-06-08,990.00,,
2026-06-09,990.00,,
2026-06-10,990.00,,
2026-06-11,990.00,,
2026-06-12,990.00,,
2026-06-13,990.00,,
2026-06-14,990.00,,
2026-06-15,990.00,,
2026-06-16,990.00,,
2026-06-17,990.00,,
2026-06-18,990.00,,
2026-06-19,990.00,,
2026-06-20,990.00,,
2026-06-21,990.00,,
2026-06-22,990.00,,
2026-06-23,990.00,,
2026-06-24,990.00,,
2026-06-25,990.00,,
