date,new_price_usd,used_price_usd,used_source
2026-05-09,233.00,,
2026-05-10,233.00,,
2026-05-11,233.00,,
2026-05-12,233.00,,
2026-05-13,233.00,,
2026-05-14,233.00,,
2026-05-15,233.00,,
2026-05-16,233.00,,
2026-05-17,233.00,,
2026-05-18,233.00,,
2026-05-19,233.00,,
2026-05-20,233.00,,
2026-05-21,233.00,,
2026-05-22,233.00,,
2026-05-23,233.00,,
2026-05-24,233.00,,
2026-05-25,233.00,,
2026-05-26,233.00,,
2026-05-27,233.00,,
2026-05-28,233.00,,
2026-05-29,233.00,,
2026-05-30,233.00,,
2026-05-31,233.00,,
2026-06-01,233.00,,
2026-06-02,233.00,,
2026-06-03,233.00,,
2026-06-04,233.00,,
2026-06-05,233.00,,
2026-06-06,233.00,,
2026-06-07,233.00,,
2026-06-08,233.00,,
2026-06-09,233.00,,
2026-06-10,233.00,,
2026-06-11,233.00,,
2026-06-12,233.00,,
2026-06-13,233.00,,
2026-06-14,233.00,,
2026-06-15,233.00,,
2026-06-16,233.00,,
