date,new_price_usd,used_price_usd,used_source
2026-05-09,330.00,,
2026-05-10,330.00,,
2026-05-11,330.00,,
2026-05-12,330.00,,
2026-05-13,330.00,,
2026-05-14,330.00,,
2026-05-15,330.00,,
2026-05-16,330.00,,
2026-05-17,330.00,,
2026-05-18,330.00,,
2026-05-19,330.00,,
2026-05-20,330.00,,
2026-05-21,330.00,,
2026-05-22,330.00,,
2026-05-23,330.00,,
2026-05-24,330.00,,
2026-05-25,330.00,,
2026-05-26,330.00,,
2026-05-27,330.00,,
2026-05-28,330.00,,
2026-05-29,330.00,,
2026-05-30,330.00,,
2026-05-31,330.00,,
2026-06-01,330.00,,
2026-06-02,330.00,,
2026-06-03,330.00,,
2026-06-04,330.00,,
2026-06-05,330.00,,
2026-06-06,330.00,,
2026-06-07,330.00,,
