date,new_price_usd,used_price_usd,used_source
2026-05-09,814.00,,
2026-05-10,814.00,,
2026-05-11,814.00,,
2026-05-12,814.00,,
2026-05-13,814.00,,
2026-05-14,814.00,,
2026-05-15,814.00,,
2026-05-16,814.00,,
2026-05-17,814.00,,
2026-05-18,814.00,,
2026-05-19,814.00,,
2026-05-20,814.00,,
2026-05-21,814.00,,
2026-05-22,814.00,,
2026-05-23,814.00,,
2026-05-24,814.00,,
2026-05-25,814.00,,
2026-05-26,814.00,,
2026-05-27,814.00,,
2026-05-28,814.00,,
2026-05-29,814.00,,
2026-05-30,814.00,,
2026-05-31,814.00,,
2026-06-01,814.00,,
2026-06-02,814.00,,
2026-06-03,814.00,,
2026-06-04,814.00,,
2026-06-05,814.00,,
2026-06-06,814.00,,
2026-06-07,814.00,,
2026-06-08,814.00,,
2026-06-09,814.00,,
2026-06-10,814.00,,
2026-06-11,814.00,,
2026-06-12,814.00,,
2026-06-13,814.00,,
2026-06-14,814.00,,
2026-06-15,814.00,,
2026-06-16,814.00,,
2026-06-17,814.00,,
2026-06-18,814.00,,
2026-06-19,814.00,,
2026-06-20,814.00,,
2026-06-21,814.00,,
2026-06-22,814.00,,
2026-06-23,814.00,,
2026-06-24,814.00,,
2026-06-25,814.00,,
2026-06-26,814.00,,
2026-06-27,814.00,,
2026-06-28,814.00,,
2026-06-29,814.00,,
2026-06-30,814.00,,
2026-07-01,814.00,,
2026-07-02,814.00,,
2026-07-03,814.00,,
2026-07-04,814.00,,
2026-07-05,814.00,,
2026-07-06,814.00,,
2026-07-07,814.00,,
2026-07-08,814.00,,
2026-07-09,814.00,,
2026-07-10,814.00,,
2026-07-11,814.00,,
2026-07-12,814.00,,
2026-07-13,814.00,,
2026-07-14,814.00,,
2026-07-15,814.00,,
2026-07-16,814.00,,
2026-07-17,814.00,,
2026-07-18,814.00,,
2026-07-19,814.00,,
2026-07-20,814.00,,
2026-07-21,814.00,,
2026-07-22,814.00,,
